ID,名刺画像ファイル名（表）,名刺画像ファイル名（裏）,回答日時,テスト回答,Q.01_社員CD（8桁）,Q.02_お客様の主な業界,Q.03_打ち合わせ種類（複数選択可）,Q.04_【打合せ内容】フリー入力,Q.05_【打合せ内容】イメージ図・ポンチ絵,Q.06_【打合せ内容】緊急度（複数選択可）,Q.07_【打合せ内容】営業フォロー担当者（例：支店名＋営業氏名）,Q.08_【案件情報】案件名（ライン名・装置名など）,Q.09_【案件情報】必要時期(見込時期),Q.10_【案件情報】案件種別,Q.11_【案件情報】開発要望（THKに対する新製品の開発要望があればチェックを入れてください。）,Q.12_カタログの請求：総合,Q.13_カタログ請求：要素部品,Q.14_カタログ請求：事業開発,Q.15_カタログ請求：IMT,Q.16_カタログの請求：フリー入力(上記カタログ以外の場合)
445,0008000091_00016_1.jpg,0008000091_00016_2.jpg,2025/4/9 10:12,通常回答,11006137,半導体/液晶,要素部品,テスト,手書きデータ,挨拶・売込み,なし,テスト,それ以降,開発（試作）,開発要望あり,会社案内 / 50-30,世界標準LMｶﾞｲﾄﾞ HSR / 440/高加減速対応 低摺動 ﾐﾆﾁｭｱLMｶﾞｲﾄﾞ (形番:AHR) / 442,ﾕｰﾃｨﾘﾃｨｽﾗｲﾄﾞ ATG / C-06-1,RMR紹介ﾘｰﾌﾚｯﾄ / L-85-1,テスト
448,0008000091_00017_1.jpg,,2025/4/9 10:18,通常回答,11014062,電気/電子部品,VTS･GLM,"善明新工場
2027年竣工
コンセプトとして無人化ラインを目指す
変化の激しい時代なので
いかに少量多品種に対応できるか
VTSのモジュール足し引きの考え方に興味を持って頂く
",手書きデータ,説明員判断でフォローが必要,,,6ヶ月以内,開発（試作）,,,,,,
450,0008000091_00018_1.jpg,,2025/4/9 10:24,通常回答,11022121,その他,要素部品,"CWG に興味あり。オーバル型でリニア駆動のものを展示会で見たそう。今回の展示会では展示,カタログがなかったので具体的な紹介できず。",手書きデータ,説明員判断でフォローが必要,,,それ以降,今回限り,,,,,,CWG
451,0008000091_00019_1.jpg,0008000091_00019_2.jpg,2025/4/9 10:24,通常回答,1101158,一般産業機械,要素部品,普段装置メーカから装置を買ってメンテナンスをお願いしているが、自分達で交換作業できるようにしたい。加工現場のため環境が悪いので防塵オプションの紹介。,手書きデータ,カタログ希望、情報収集,,,,今回限り,,,,,,
452,0008000091_00020_1.jpg,0008000091_00020_2.jpg,2025/4/9 10:24,通常回答,1101158,一般産業機械,要素部品,普段装置メーカから装置を買ってメンテナンスをお願いしているが、自分達で交換作業できるようにしたい。加工現場のため環境が悪いので防塵オプションの紹介。,手書きデータ,カタログ希望、情報収集,,,,今回限り,,,,,,
453,0008000091_00021_1.jpg,,2025/4/9 10:24,通常回答,11021074,工作機械,要素部品,"現場の方。
ユーザーから要望等上がってくるが、
仕様等は設計部署へ。
粉塵対策が1番ユーザーから上がってくる要望が多い。",手書きデータ,挨拶・売込み,,,,,,,,,,
454,0008000091_00022_1.jpg,,2025/4/9 10:25,通常回答,11021074,工作機械,要素部品,"現場の方。
ユーザーから要望等上がってくるが、
仕様等は設計部署へ。
粉塵対策が1番ユーザーから上がってくる要望が多い。",手書きデータ,挨拶・売込み,,,,,,,,,,
455,0008000091_00023_1.jpg,,2025/4/9 10:25,通常回答,11021074,工作機械,要素部品,"現場の方。
ユーザーから要望等上がってくるが、
仕様等は設計部署へ。
粉塵対策が1番ユーザーから上がってくる要望が多い。",手書きデータ,挨拶・売込み,,,,,,,,,,
456,0008000091_00024_1.jpg,,2025/4/9 10:25,通常回答,11021074,工作機械,要素部品,"現場の方。
ユーザーから要望等上がってくるが、
仕様等は設計部署へ。
粉塵対策が1番ユーザーから上がってくる要望が多い。",手書きデータ,挨拶・売込み,,,,,,,,,,
457,0008000091_00025_1.jpg,0008000091_00025_2.jpg,2025/4/9 10:25,通常回答,1101158,一般産業機械,要素部品,普段装置メーカから装置を買ってメンテナンスをお願いしているが、自分達で交換作業できるようにしたい。加工現場のため環境が悪いので防塵オプションの紹介。,手書きデータ,カタログ希望、情報収集,,,,今回限り,,,,,,
459,0008000091_00026_1.jpg,,2025/4/9 10:25,通常回答,11021074,工作機械,要素部品,"現場の方。
ユーザーから要望等上がってくるが、
仕様等は設計部署へ。
粉塵対策が1番ユーザーから上がってくる要望が多い。",手書きデータ,挨拶・売込み,,,,,,,,,,
460,0008000091_00027_1.jpg,,2025/4/9 10:26,通常回答,11012066,一般産業機械,要素部品,"派遣として設計を担当されています。
展示会の展示台？の様な設計で
引き出しの様な機構を選定予定。
",手書きデータ,説明員判断でフォローが必要,,,6ヶ月以内,今回限り,,,,,,
461,0008000091_00028_1.jpg,0008000091_00028_2.jpg,2025/4/9 10:26,通常回答,1101158,一般産業機械,要素部品,普段装置メーカから装置を買ってメンテナンスをお願いしているが、自分達で交換作業できるようにしたい。加工現場のため環境が悪いので防塵オプションの紹介。,手書きデータ,カタログ希望、情報収集,,,,今回限り,,,,,,
462,0008000091_00029_1.jpg,,2025/4/9 10:26,通常回答,11012066,一般産業機械,要素部品,"派遣として設計を担当されています。
展示会の展示台？の様な設計で
引き出しの様な機構を選定予定。
",手書きデータ,説明員判断でフォローが必要,,,6ヶ月以内,今回限り,,,,,,
