ID,用語,カテゴリ,出典種別,出典ID,出典箇所,文脈での意味,備考
T-001,利用者アカウント,業務概念,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§2.1 ユーザー管理一覧,サービス利用者が使用するアカウント,モックアップでは「利用者アカウント管理」と表示
T-002,ユーザー管理,画面機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§1 文書目的,管理者がサービス利用者のアカウントを管理する画面,
T-003,ユーザー管理一覧,画面機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§2.1,管理者が利用者アカウントの検索・絞り込み・一覧閲覧を行う起点となる画面,
T-004,ユーザー詳細モーダル,画面機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§2.2,特定ユーザーの基本情報・請求情報・サービス設定・内部メモ・契約状態・履歴・紐付きアンケートを確認し操作するモーダル,
T-005,SPEED AD 管理者,ロール権限,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),対象ユーザー,社内のオペレーション担当者,
T-006,アカウントID,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.1 ユーザー一覧表示,利用者アカウントを一意に識別する識別子,
T-007,会社名,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.1,利用者が属する企業名,
T-008,部署,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.2 詳細フィルタ,利用者が属する部門,
T-009,役職,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.2,利用者の職位,
T-010,氏名,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.1,利用者の人名,
T-011,メールアドレス,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.1,利用者のメール連絡先,
T-012,契約ステータス,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.1,利用者の契約状態（有効・一時停止・解約）,
T-013,契約プラン,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.1,ユーザーが契約している利用プラン（無料・プレミアム）,
T-014,管理フラグ,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.1,ユーザーの管理上の優先度・注意度（重要・要注意・関係者）,
