"概念ID","カテゴリ","概念名","統一表記（正）","統一前の表記ゆれ（廃止）","出現範囲","文脈での意味","補足・注意"
"A-01","業務概念","サービス名称","SPEED AD","SpeedAd / Speed Ad / SPEED-AD / speedad","両方","名刺データ化・アンケートサービス本体の名称","最優先。ロゴ・<title>・帳票・コード識別子まで全て「SPEED AD」に統一。法人名「SPEED AD 株式会社」は別途確定する"
"B-01","ロール権限","サービス利用者の呼称","利用者","ユーザー / 運用担当者 / 広告運用担当 / クライアント担当者 / アンケート運用管理者","両方","SPEED ADを業務利用する人（admin運営者・オペレーターと対比）","UI表示は「利用者」に統一。コード識別子は user 可"
"B-02","データ項目","利用者アカウントの識別子","アカウントID","ユーザーID / ユーザー ID","admin側","利用者アカウントを一意に識別するID","語中スペース無し。旧T-006/T-163の不一致を解消"
"B-03","データ項目","オペレーターの識別子","オペレーターID","オペレーター ID","admin側","オペレーターを一意に識別するID","語中スペース無しに統一。旧T-181は半角スペース入り"
"B-04","業務概念","契約区分","個人契約 / グループ契約","個人 / グループ / 個人アカウント","両方","請求・利用が個人単位かグループ単位か","表示モードの「個人ビュー」は別概念。混同しないこと"
"B-05","ロール権限","利用者側の権限ロール","権限ロール","権限 / アカウント権限 / ロール","admin側","利用者アカウントの権限レベル","旧T-126/T-145/T-182の4表記を統一"
"B-06","ロール権限","グループ内ロール（共同編集）","グループ管理者 / 一般メンバー","管理者 / 一般","ユーザー側","アンケート共同編集グループ内の権限区分","表示語はグループ管理者/一般メンバー、内部値は admin/member。group-edit仕様§5.4の課題を解消"
"C-01","操作機能","パスワード再設定（ログイン前）","パスワード再設定","パスワードリセット / パスワード初期化","両方","ログイン前にメール経由でパスワードを設定し直す動線","仕様書名「リセット」・admin「初期化」を「再設定」に統一。C-02と明確に区別"
"C-02","操作機能","パスワード変更（ログイン後）","パスワード変更","-","ユーザー側","ログイン後に旧パスワードを入力して変更する動線","C-01（再設定）と語が似るため利用者混同に注意。両仕様書とも区別を明記している"
"C-03","操作機能","「パスワードを忘れた」入口リンク","パスワードをお忘れの方","パスワードを忘れた方 / パスワードを忘れた場合 / パスワードをお忘れですか？","ユーザー側","リセット動線への入口となるリンク文言","4表記を「パスワードをお忘れの方」に統一"
"C-04","操作機能","ログイン","ログイン","-","両方","サービスへの認証操作","既に統一済（「サインイン」不使用）。今後も維持する"
"C-05","データ項目","パスワード強度表示","パスワード強度メーター","強度インジケーター / 強度メーター","ユーザー側","入力パスワードの強さの目安表示","段階ラベルは 弱い/普通/安全。2仕様書の名称差を統一"
"C-06","操作機能","パスワード初期化メール送信（admin発信）","パスワード初期化メール送信","パスワードリセットメール送信 / 初期化メール再送 / パスワード初期化リンクを送信 / パスワード初期化メール","admin側","管理者が利用者・オペレーターへ再設定メールを送る操作","旧T-047/T-119/T-144/T-185。admin発の操作名として「パスワード初期化メール送信」に統一（C-01の利用者動線名とは役割が異なるため別表記を維持）"
"D-01","業務概念","無料プラン","無料プラン","無料 / Free / Standard / フリープラン / 無償プラン","両方","未課金のデフォルトプラン","UI表記は「無料プラン」、内部値は free に統一。プラン体系は無料/プレミアムの2区分を推奨。dashboard一覧仕様・survey-management の3区分表記（Free/Standard/Premium）と glossaryのEnterprise が実在プランか否かは要・経営確認"
"D-02","業務概念","有料プラン","プレミアムプラン","プレミアム / Premium / Pro / Pro (年間)","両方","月額課金の有料プラン","UI表記は「プレミアムプラン」、内部値は premium。admin側「Pro」「Pro (年間)」は契約期間（月額/年額）の違いであり、プラン名としては「プレミアムプラン」に統一"
"D-03","状態","無料トライアル","無料トライアル","無料トライアル中 / トライアル / Free Trial","ユーザー側","プレミアム機能を当月末まで無料試用する状態","UIステータス表示の英語(Free Trial)を和文に統一"
"D-04","状態","解約予約中","解約予約中","自動更新停止中 / Auto-Renewal Off","ユーザー側","解約手続き済みで契約期間満了を待つ状態","同義の2語＋英語表示を「解約予約中」に統一"
"D-05","操作機能","解約（自動更新停止）","解約","解約手続き / 自動更新を停止する / プラン解約","ユーザー側","プレミアム契約の自動更新を止める操作","画面名・確定ボタン・完了見出しを「解約」で統一。利用者の不安に直結するため最優先"
"D-06","操作機能","プレミアム登録（加入）","プレミアム登録","登録 / 加入 / 加入申込 / 申し込む","ユーザー側","プレミアムプランの申込操作","画面名・完了画面・CTAを「プレミアム登録」で統一"
"D-07","業務概念","プラン機能制限","プラン機能制限","プラン連動 / プラン制限 / プラン能力定義 / ゲーティング","ユーザー側","契約プランによる機能利用可否の制御","内部ファイル名 plan-capabilities.json は別。UI/仕様の呼称を「プラン機能制限」に統一"
"E-01","業務概念","請求書","請求書","ご請求内容一覧 / 御請求書","両方","利用料の請求帳票","帳票見出しの装飾表記（御 請 求 書）も「請求書」に標準化する"
"E-02","画面機能","請求管理画面","請求管理","請求一覧","admin側","管理者が請求を管理する画面","admin画面は「〜管理」で命名統一（ユーザー管理・オペレーター管理・アンケート管理等）。仕様書の「請求一覧/請求詳細」は請求管理内の一覧ビュー/詳細ビューの呼称とする"
"E-03","状態","入金状態","入金ステータス","入金状況 / 入金状態","admin側","請求に対する入金の状態","「ステータス／状況／状態」を「入金ステータス」に統一。状態値（入金待ち/入金済み）は維持"
"E-04","データ項目","請求金額","請求予定金額","請求額 / 今月予定額 / 見込み額 / 請求予定額 / 直近請求金額","admin側","請求の見込み金額","見込み段階は「請求予定金額」、確定後は「請求金額」と使い分ける。直近の確定額は「直近請求金額」のまま可"
"E-05","操作機能","請求書PDF出力","帳票ダウンロード","PDFダウンロード","ユーザー側","請求書をPDF形式で出力する操作","ボタン文言と用語集記載の不一致を「帳票ダウンロード」に統一"
"E-06","業務概念","集約請求","集約請求","集約","ユーザー側","同月・同契約区分の請求をまとめた請求","略称「集約」の単独使用を避け「集約請求」に統一"
"E-07","画面機能","クーポン管理画面","クーポン管理","クーポン設定","admin側","クーポンを作成・管理する画面","「〜管理」命名規約に合わせる。仕様書の「クーポン設定」を「クーポン管理」へ修正"
"E-08","データ項目","クーポンコード","クーポンコード","コード","admin側","クーポンを識別する入力コード","一覧・検索の「コード」を「クーポンコード」に統一"
"E-09","データ項目","クーポン名称","クーポン名称","名称","admin側","クーポンの名称","一覧カラムの「名称」を「クーポン名称」に統一"
"E-10","データ項目","クーポン有効期限","有効期限","有効期間","admin側","クーポンが利用可能な期間","couponDetailModalの「有効期間」を「有効期限」に統一"
"E-11","データ項目","クーポン利用回数上限","利用回数上限","利用回数 / 利用上限","admin側","クーポンを利用できる回数の上限","実績値は「利用回数」、上限値は「利用回数上限」と必ず区別する"
"F-01","業務概念","アンケート","アンケート","survey / enquete","両方","イベント・展示会で回収する調査票。サービスの中核データ","UI日本語は「アンケート」で統一済。コード/データパスの survey・enquete 混在は内部識別子をどちらかへ寄せる（要技術判断）"
"F-02","状態","アンケートのステータス","草稿 / 準備中 / 会期中 / 会期終了 / データ化中 / データ化完了 / 終了 / 削除済み","会期前 / 実施中 / 公開中 / 下書き / 会期中オンデマンド / 会期終了（照合待ち）/ DL期限終了 / 停止","両方","アンケートの進行段階","ユーザー画面・admin管理・照合画面の3系統を1系統に統合。対応: 「会期前」→準備中、admin「実施中」「公開中」→会期中、admin「草稿」「下書き」→草稿、「会期終了（照合待ち）」→データ化中、「DL期限終了」→終了。「会期中オンデマンド」は会期中＋データ化プラン属性で表現。20_spec の「停止」ステータスの要否は要確認"
"F-03","データ項目","会期（実施期間）","会期","展示会会期 / 会期期間 / アンケート期間 / 回答期間","両方","アンケートの実施期間","5表記を「会期」に統一"
"F-04","データ項目","アンケート名称","アンケート名","アンケート名称","両方","アンケートの名称","「アンケート名」に統一。社内管理用名称と回答者向け「表示タイトル」は別項目として残す"
"F-05","データ項目","回答数","回答数","回答総数 / 回答件数","両方","アンケートへの回答件数","3表記を「回答数」に統一"
"F-06","操作機能","アンケート新規作成","アンケート新規作成","新規作成 / アンケートを作成 / 作成する / 新規アンケート登録 / 新規アンケート","両方","新しいアンケートを作成する操作","ボタン・モーダル・仕様書の表記を「アンケート新規作成」に統一"
"F-07","業務概念","マトリックス設問","マトリックス","マトリクス","ユーザー側","行×列形式の設問","カナ長音は「マトリックス」に統一（設問の正本である survey作成仕様に準拠）。speed-review・graph-page仕様の「マトリクス」を修正"
"F-08","データ項目","設問タイプの内部キー","survey作成仕様の11キーを正とする","single_choice / multi_choice / ranking / matrix_single / matrix_multi / free_text / photo / handwriting_space","ユーザー側","設問の回答形式の種類を表す内部識別子","正キー: free_answer / single_answer / multi_answer / dropdown / rating_scale / number_answer / matrix_sa / matrix_ma / date_time / handwriting / explanation_card。graph-page・回答画面の別名キーは廃止。image_upload（回答画面のみ存在）を作成画面側で正式採用するかは要確認"
