台帳ID,種別,カテゴリID,カテゴリ名,項目ID,質問・タイトル,要約,回答本文(改行は空白化),注目,更新日,参照リンク,最終確認日,確認ステータス,担当
FAQ-gen001,FAQ,general,基本機能について,gen001,SPEED ADとはどのようなサービスですか？,,展示会やセミナーにおける、アンケート作成、名刺のデータ化、お礼メールの送信といった一連のリード管理プロセスを効率化するWebアプリケーションです。,★,,/05_support/faq/#gen001,,,
FAQ-gen002,FAQ,general,基本機能について,gen002,スマートフォンやタブレットでも利用できますか？,,はい、ご利用いただけます。お使いのデバイスの画面サイズに合わせて、表示が最適化されるレスポンシブデザインに対応しています。,,,/05_support/faq/#gen002,,,
FAQ-acc001,FAQ,account,アカウント・セキュリティ,acc001,登録しているメールアドレスを変更したい,,アカウント設定ページから、ご登録のメールアドレスを変更することが可能です。変更後、新しいメールアドレスに確認メールが送信されますので、メール内のリンクをクリックして変更を完了してください。,,,/05_support/faq/#acc001,,,
FAQ-acc002,FAQ,account,アカウント・セキュリティ,acc002,登録情報を確認・変更したい,,アカウント設定ページより、ご登録いただいているお客様の情報（会社名、氏名など）を確認・編集することができます。,,,/05_support/faq/#acc002,,,
FAQ-acc004,FAQ,account,アカウント・セキュリティ,acc004,パスワードを忘れてしまいました。,,ログイン画面にある「パスワードをお忘れですか？」のリンクから再設定手続きを行ってください。ご登録のメールアドレスに案内が送信されます。,★,,/05_support/faq/#acc004,,,
FAQ-acc005,FAQ,account,アカウント・セキュリティ,acc005,パスワードリセットのメールが届きません。,,ご入力のメールアドレスが登録情報と異なっているか、迷惑メールフォルダに振り分けられている可能性がございます。ご確認の上、解決しない場合はサポートまでお問い合わせください。,,,/05_support/faq/#acc005,,,
FAQ-acc006,FAQ,account,アカウント・セキュリティ,acc006,プランを解約・ダウングレードしたい／アカウントを退会したい,,ダッシュボードの「アカウント設定」＞「プラン管理」から、プランの解約・ダウングレードおよびアカウント退会の手続きが可能です。月額（月単位）契約の場合、次回更新日の前日までに手続きを完了いただくことで、当月末での解約となり、追加費用は発生しません。年間契約・キャンペーン契約など契約形態によっては、解約金が発生する場合がありますので、契約書面および利用規約をご確認ください。退会手続き後、一定期間は業務データのエクスポートが可能です。保存期間経過後、業務データから削除いたします（法定保存義務のあるもの（請求関連データ等）は所定期間経過後に削除）。 詳細は利用規約および特定商取引法に基づく表示をご確認ください。,,,/05_support/faq/#acc006,,,
FAQ-acc007,FAQ,account,アカウント・セキュリティ,acc007,名刺データや個人情報はどのように取り扱われていますか？,,ご登録・ご利用いただく名刺データ・アンケート回答などの個人情報は、本サービスの提供および業務委託先でのOCRデータ化処理、ご本人への連絡、法令遵守のためのみに利用いたします。データは国内のデータセンターに保管し、通信および保管時に暗号化を行っています。第三者への提供は、法令に基づく場合または個人情報保護法に規定された場合を除き行いません。海外リージョンへのデータ移転が発生する場合には、別途ご案内のうえ、ご本人の同意取得または規約で定める方法により対応いたします。詳細は「プライバシーポリシー」をご確認ください。,,,/05_support/faq/#acc007,,,
FAQ-plan001,FAQ,plans,料金プランについて,plan001,無料プランではどこまでできますか？,,基本的なアンケート作成（最大20問）、無料範囲内での名刺データ化（2項目まで）などの基本機能をご利用いただけます。ただし、一部機能に制限がございますので、詳細は料金プラン比較表をご確認ください。,★,,/05_support/faq/#plan001,,,
FAQ-plan002,FAQ,plans,料金プランについて,plan002,お礼メールを自社のメールアドレスから送信したいです。,,プレミアムプランにご契約いただくことで、自社ドメインからのメール送信機能がご利用いただけます。ご利用には簡単なドメイン認証設定が必要です。,★,,/05_support/faq/#plan002,,,
FAQ-plan003,FAQ,plans,料金プランについて,plan003,名刺を急いでデータ化してもらうことは可能ですか？,,はい、スタンダードプラン以上で「特急作業プラン」を、プレミアムプランではさらに早い「超特急作業プラン」や「オンデマンドプラン」をご利用いただけます。それぞれ納期と料金が異なります。,,,/05_support/faq/#plan003,,,
FAQ-bil002,FAQ,billing,請求・お支払いについて,bil002,過去の請求内容を確認したいです。,,ダッシュボードの「請求書一覧」メニューから、過去の請求書をご確認いただけます。各請求書の「詳細」ボタンから、金額の内訳や支払い状況もご覧になれます。,,,/05_support/faq/#bil002,,,
