グループ,概念(意味),出現バリエーション(原文ママ),FAQ出現(目安),HELP出現(目安),plansページ出現(目安),出現箇所メモ,備考(事実のみ),推奨表記(記入用・空欄),判定メモ
G1,回答者へ送る自動フォローメール,お礼メール / 御礼メール / サンクスメール,3,10,3,,plansページのみ「御礼メール送信費用」。help/faqは「お礼メール」、helpの動画記事は「サンクスメール」,,
G2,回答完了後に表示する画面,サンクス画面 / お礼画面 / 回答完了画面,3,6,1,,func004/use003は「お礼画面（サンクス画面）」「サンクス画面（回答完了画面）」と併記。G1のメールとは別概念,,
G3,下位プラン（無償/基本）,無料プラン / スタンダード / スタンダードプラン,5,7,3,,help/faqは「無料プラン」。plansページは「スタンダード（月額なし）」。無料プラン＝スタンダードかは要確認,,
G4-特急,速度プラン：特急,特急 / 特急作業プラン,4,6,6,,plansページは「特急」、help/faqは「特急作業プラン」,,
G4-超特急,速度プラン：超特急,超特急 / 超特急作業プラン,2,3,3,,plansページは「超特急」、help/faqは「超特急作業プラン」,,
G4-オンデ,速度プラン：オンデマンド,オンデマンド / オンデマンドプラン,2,3,4,,plansページは「オンデマンド」、help/faqは「オンデマンドプラン」,,
G5,複数ユーザーの共同運用,グループ管理 / グループ機能 / グループアカウント,0,5,2,,helpは「グループ管理」、plansページは「グループ機能」「グループアカウント」,,
G6,上位プラン,プレミアム / プレミアムプラン,8,14,9,,「プレミアム」「プレミアムプラン」が混在,,
G7,最上位/法人向けプラン,エンタープライズプラン,0,2,0,,misc004にのみ登場。plansページの2プラン構成（スタンダード/プレミアム）に存在しない,,
G8,対応カードブランド,Visa / VISA / Mastercard / JCB / American Express / Amex,4,6,0,,FAQ-bil004はJCBを含む4ブランド、HELP-bil001はJCBなし3ブランド。VISA/Visaの表記揺れも,,
G9,アンケート作成の起点導線,アンケート新規作成 / アンケート一覧 / 新しいアンケート,3,16,0,,ボタン名/導線の呼称が記事間で揺れる,,
G10,問い合わせ導線,お問い合わせ / サポート / bug-report,3,31,1,,ラベルは「お問い合わせ」だがリンク先は ../bug-report/,,
G11,名刺のテキスト化,名刺データ化 / 名刺のデータ化,3,8,6,,助詞「の」有無の揺れ,,
G12,回答CSVの文字コード説明,UTF-8 BOM付き / UTF-8,2,2,1,,func008は「UTF-8 BOM付き・直接読込可」、use004は「UTF-8・文字化けする場合あり」。同一CSVの説明差,,
