ID,名刺画像ファイル名（表）,名刺画像ファイル名（裏）,回答日時,テスト回答,"Q.01_社員CD（8桁）","Q.02_お客様の主な業界","Q.03_打ち合わせ種類（複数選択可）","Q.04_【打合せ内容】フリー入力（エラー時にこの画面をスクリーンショットしてください。）","Q.05_【打合せ内容】イメージ図・ポンチ絵","Q.06_【打合せ内容】緊急度（複数選択可）","Q.07_【打合せ内容】後日フォローする担当者・連絡済みの担当者など（説明員として担当した方の名前ではありません。）","Q.08_【案件情報】案件名（ライン名・装置名など）","Q.09_【案件情報】必要時期(見込時期)","Q.10_【案件情報】案件種別","Q.11_【案件情報】開発要望（THKに対する新製品の開発要望があればチェックを入れてください。）",
"6794","0008000175_00005_1.jpg","","2025-07-04 11:17","通常回答","22109",一般産業機械,機械要素部品,"ガイド:IKO
ねじ:黒田
カムフォロア:THK
","0008000175_00005_staff_data_5.jpg",カタログ希望、情報収集/挨拶・売込み,"","",それ以降,,,
"6795","0008000175_00006_1.jpg","0008000175_00006_2.jpg","2025-07-04 12:03","通常回答","09142",一般産業機械,THK免震 （体験デモ機）,"","0008000175_00006_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6801","0008000175_00007_1.jpg","","2025-07-04 12:33","通常回答","22109",商社,機械要素部品,"","0008000175_00007_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6803","0008000175_00008_1.jpg","","2025-07-04 12:34","通常回答","22109",商社,機械要素部品,"","0008000175_00008_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6804","0008000175_00009_1.jpg","","2025-07-04 12:34","通常回答","22109",商社,該当なし,"","0008000175_00009_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6805","0008000175_00010_1.jpg","","2025-07-04 12:38","通常回答","11092210",一般産業機械,THK免震,"THK機器免震の紹介。","0008000175_00010_staff_data_5.jpg",カタログ希望、情報収集,"","",それ以降,今回限り,,
"6806","0008000175_00011_1.jpg","","2025-07-04 12:39","通常回答","11092210",一般産業機械,THK免震,"THK機器免震の紹介。","0008000175_00011_staff_data_5.jpg",カタログ希望、情報収集,"","",それ以降,今回限り,,
"6808","0008000175_00012_1.jpg","","2025-07-04 12:43","通常回答","11023521",食品/薬品/化粧品,カーリングデモ機 体験,"自社の工場でLMガイドを使用している","0008000175_00012_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6809","0008000175_00013_1.jpg","","2025-07-04 12:43","通常回答","11023521",食品/薬品/化粧品,カーリングデモ機 体験,"","0008000175_00013_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6812","0008000175_00014_1.jpg","","2025-07-04 13:07","通常回答","11009142",一般産業機械,カーリングデモ機 体験,"","0008000175_00014_staff_data_5.jpg",カタログ希望、情報収集,"","",,,,
"6813","0008000175_00015_1.jpg","","2025-07-04 13:14","通常回答","22109",工作機械,機械要素部品/GK品,"","0008000175_00015_staff_data_5.jpg",説明員判断でﾌｫﾛｰが必要(ISSﾌｫﾛｰ),"福久","",,,,
"6824","0008000175_00016_1.jpg","","2025-07-04 13:31","通常回答","22109",工作機械,機械要素部品,"","0008000175_00016_staff_data_5.jpg",カタログ希望、情報収集,"","",,,,
"6826","0008000175_00017_1.jpg","","2025-07-04 13:54","通常回答","22109",一般産業機械,カーリングデモ機 体験,"","0008000175_00017_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6827","0008000175_00018_1.jpg","","2025-07-04 13:55","通常回答","22109",一般産業機械,カーリングデモ機 体験,"","0008000175_00018_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6830","0008000175_00019_1.jpg","","2025-07-04 14:12","通常回答","11009142",一般産業機械,THK免震,"","0008000175_00019_staff_data_5.jpg",営業打合せ希望(客先要望),"","専務取締役荒木様の方に一度電話頂きたい。
過去にミツトヨの三次元測定機に免震を検討したが高かった。
再度検討したい。",1年以内,開発（試作）,,
"6831","0008000175_00020_1.jpg","","2025-07-04 14:14","通常回答","1109142",一般産業機械,THK免震,"","0008000175_00020_staff_data_5.jpg",営業打合せ希望(客先要望),"","専務取締役荒木様と一緒に来場",1年以内,開発（試作）,,
"6832","0008000175_00021_1.jpg","","2025-07-04 14:15","通常回答","11009142",一般産業機械,カーリングデモ機 体験,"","0008000175_00021_staff_data_5.jpg",カタログ希望、情報収集,"","",それ以降,,,
"6833","0008000175_00022_1.jpg","","2025-07-04 14:16","通常回答","11009142",商社,カーリングデモ機 体験,"","0008000175_00022_staff_data_5.jpg",カタログ希望、情報収集,"","",,,,
