チェックID,出典台帳ID,主張内容(原文ママ抜粋),主張種別,照合先候補,備考(事実のみ),仕様上の値,一致(○/△/×/要確認),判定メモ,判定者
gen001-svc,FAQ-gen001,「アンケート作成、名刺のデータ化、お礼メールの送信といった一連のリード管理プロセスを効率化するWebアプリケーション」,サービス定義,プロダクト概要/トップページ,,,,,
gen002-responsive,FAQ-gen002,「レスポンシブデザインに対応」スマホ・タブレット利用可,対応環境,実画面/PC前提方針,対応の前提は要確認（PC表示が大前提との運用方針あり）,,,,
acc006-cancel,FAQ-acc006,月額（月単位）契約は次回更新日の前日までの手続きで当月末解約・追加費用なし。年間/キャンペーン契約は解約金が発生する場合,契約・解約,利用規約/料金仕様書,HELP-bil005と整合確認（helpは「次回更新日の前日までで更新停止」）,,,,
acc007-privacy,FAQ-acc007,名刺データ等は国内データセンター保管・通信/保管時に暗号化・第三者提供は法令等を除き行わない・海外移転時は同意取得,法務・データ保護,プライバシーポリシー,公開ポリシー文と一字一句の整合要確認,,,,
plan001-free-limits,FAQ-plan001 / HELP-plan001,無料プラン：アンケート最大20問・名刺データ化2項目まで,数量上限・プラン,料金プラン仕様書/plansページ,plansページの速度別単価は「お試し=2項目/通常以上=10項目」。「無料プラン」という名称はplansページに無い（スタンダード=月額なし）,,,,
plan002-domain,FAQ-plan002 / HELP-plan002,自社ドメイン送信はプレミアムプラン機能・SPF/DKIMのドメイン認証が必要,機能・対応プラン,料金プラン仕様書,,,,,
plan003-speed,FAQ-plan003 / HELP-plan003,特急＝スタンダード以上、超特急・オンデマンド＝プレミアム,対応プラン,plansページ/料金仕様書,plansページではオンデマンド=「プレミアム限定」。特急/超特急の対応プラン条件を要確認,,,,
bil004-payment,FAQ-bil004,クレカ(Visa/Mastercard/JCB/American Express)標準。請求書払い(銀行振込・月末締め翌月末払い)はスタンダード以上の年間契約で対応,支払い,料金仕様書/運用担当,本文に「※仮文言。対応プランの条件・支払いサイトは運用担当に要確認」と自己申告あり。HELP-bil001はJCBを記載していない,,,,
bil005-invoice,FAQ-bil005,インボイス制度対応。請求書に適格請求書発行事業者登録番号(T＋13桁)と税率別内訳を記載,法務・請求,特定商取引法に基づく表示/請求書,本文に「※登録番号および表示内容は本番公開時に確定・記載予定」と自己申告あり,,,,
func002-csv,FAQ-func002 / HELP-use004,回答データをCSV形式(UTF-8)でエクスポート可,エクスポート仕様,実画面/仕様書,FAQ-func008は「UTF-8 BOM付き・Excel2016以降Windowsで直接読込可」、HELP-use004は「UTF-8。Excelで文字化けする場合はインポート」。同じCSVの説明が不一致,,,,
func003-branch,FAQ-func003 / HELP-use002,条件分岐機能はプレミアムプラン以上で提供,機能・対応プラン,料金プラン仕様書,,,,,
func005-autosave,FAQ-func005,回答内容は定期的に自動で下書き保存され、再開できる,機能,実画面/仕様書,,,,,
func008-export,FAQ-func008,回答CSVはUTF-8 BOM付き(Excel2016以降Windows版で直接読込可)。名刺データはCSVに加えプレミアムでvCard(.vcf)対応,エクスポート仕様,実画面/仕様書,vCard対応の有無・対応プランを要確認,,,,
gs004-browser,HELP-gs004,推奨ブラウザは最新版のChrome/Firefox/Safari/Edge,対応環境,動作環境仕様,HELP-ts001は「Chrome/Firefox推奨」、HELP-ts003は「Chrome/Firefox」。推奨ブラウザの記載範囲が項目で揺れる,,,,
acc003-2fa,HELP-acc003,二段階認証を認証アプリ(Google Authenticator/Authy等)またはSMSで設定可,機能・認証,実画面/仕様書,二段階認証の実装有無を要確認,,,,
acc004-password,HELP-acc004,パスワードは8文字以上・英数記号の混在を推奨,認証ポリシー,パスワードポリシー仕様(AD-09等),実際のバリデーション値と整合確認,,,,
acc005-group,HELP-acc005,グループ管理機能でメンバー招待・アンケート共有・回答データ共同確認が可能,機能,グループ/招待仕様(AD-09等),plansページは「グループ機能」「グループアカウント」表記。名称の整合要確認,,,,
ts004-domain,HELP-ts004,受信許可リストに @speed-ad.com を追加。30分以上届かなければ問い合わせ,ドメイン・連絡先,送信ドメイン設定,送信元ドメイン @speed-ad.com が実在/正かを要確認（運営会社ドメインと別）,,,,
ts005-dltimeout,HELP-ts005,ダウンロードが10分以上開始しなければサポートへ,手順・目安,運用基準,,,,,
plan004-upgrade,HELP-plan004,アップグレードはいつでも可・即時適用・差額分のみ請求,契約・課金,料金/課金仕様,,,,,
plan005-noprorate,HELP-plan005,日割り計算は行わない。月途中契約でも1ヶ月分の料金が発生,料金,料金仕様書/利用規約,,,,,
bil001-payment-help,HELP-bil001,支払いはクレジットカード(VISA/Mastercard/American Express)と銀行振込,支払い,料金仕様書,FAQ-bil004はJCBを含む4ブランド。カードブランドの記載が不一致,,,,
bil005h-refund,HELP-bil005,途中解約でも残期間分の返金なし。次回更新日の前日までの手続きで更新停止,契約・解約,利用規約,FAQ-acc006と整合確認,,,,
misc004-enterprise,HELP-misc004,API はエンタープライズプランのお客様向けに提供,プラン・機能,料金プラン仕様書,plansページはスタンダード/プレミアムの2プランのみ。「エンタープライズプラン」はplansページに存在しない,,,,
misc005-company,HELP-misc005,運営会社は株式会社 Abroad Outsourcing,会社情報,フッター/特定商取引法に基づく表示,正式社名・表記の整合要確認,,,,
mail-pricing,FAQ-plan001 / plansページ,お礼メール：100通まで無料・101通目以降1円/通（plansページ記載）,料金,plansページ/料金仕様書,help/faqのお礼メール記事には100通無料/1円の料金条件の記載が無い（情報の非対称）,,,,
